Composite.Element.REF	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6914-01	TCGA-FA-8693-01	TCGA-FM-8000-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FA-A7Q1-01	TCGA-FF-A7CW-01	TCGA-FA-A4BB-01	TCGA-FA-A7DS-01	TCGA-FA-A4XK-01	TCGA-RQ-A68N-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-RQ-A6JB-01	TCGA-FF-A7CR-01	TCGA-FF-A7CX-01	TCGA-VB-A8QN-01	TCGA-GS-A9TT-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U4-01
BECN1|Beclin	-0.2858	-0.8317	0.7919	-0.0822	-0.0039	0.8297	-0.5547	-0.2604	1.6655	-1.6576	0.3296	0.7867	2.2053	1.476	0.5583	-0.3127	-0.4755	1.6758	-1.3916	-0.2693	-1.2727	0.7033	-0.7163	0.7583	-1.848	0.4385	-1.3725	-1.4744	0.5879	-0.5324	0.2772	-0.1697	0.4275
CTNNB1|beta-Catenin	-0.0319	-0.7876	0.259	0.776	-1.2933	-0.3567	2.5193	-1.074	-0.8715	-0.1992	0.5438	1.0707	-0.5438	-1.8098	1.5941	1.6659	0.4187	-0.7051	-2.0751	1.0482	0.919	0.0691	-0.337	0.7353	-1.6389	0.4569	-0.1922	-0.3271	0.0492	0.2881	0.0517	-0.6346	0.4128
BID|Bid	-0.4323	-1.2343	-0.9536	0.0383	-0.9048	0.4441	-0.6087	0.9126	2.0523	-0.2135	-1.3177	-0.5966	0.3918	1.0186	-0.2922	0.7324	0.0304	1.2801	1.7558	-0.771	-0.798	-0.7414	-0.9391	1.7928	-1.1025	0.244	0.9242	0.6794	-1.2089	-0.8272	-1.1483	-0.0347	1.8278
BCL2L11|Bim	-0.1733	-0.4667	2.1666	0.2467	0.398	1.9203	-1.1366	0.2774	0.2381	-0.5753	-1.0114	-0.5692	2.1772	1.5461	-0.7945	-0.6753	0.7098	-1.1962	0.7975	-1.5909	-0.9633	-0.1273	0.3287	-1.2557	0.2934	-0.498	-1.0628	1.0705	0.283	0.4837	-0.1079	0.6072	-1.3398
JUN|c-Jun_pS73	-0.6657	-0.0702	0.5496	0.1783	1.0666	0.2749	0.1608	0.7809	-0.3571	-1.0586	-0.1624	-0.6988	-2.2658	-1.6457	-0.2534	2.6641	0.0296	-1.0777	-1.6429	-1.4001	0.9599	0.6603	1.0827	1.2352	-0.3581	-0.2033	-0.3258	1.0115	-0.6948	1.1982	0.6437	0.2919	0.0923
KIT|c-Kit	2.1292	-0.8138	-1.3745	1.1392	-0.6403	-0.2532	1.0043	-0.3831	2.0455	0.1378	-0.1114	-0.7016	-2.5195	-0.0971	1.114	-0.7781	-0.7194	-0.1652	1.2896	-1.1484	-0.5656	0.6383	-0.8778	1.0639	0.3008	0.4048	-0.901	1.5388	-0.5244	0.286	-0.3137	-0.0312	-0.1728
MET|c-Met_pY1235	0.7778	-0.3774	-1.6188	0.6475	-0.0161	0.7907	-0.8333	0.2228	2.0233	0.5294	-0.4463	0.1521	0.0405	1.2131	-1.4445	-0.7841	-0.8233	-0.1477	2.5647	-0.7092	0.0964	-0.3269	-0.545	1.6989	-0.0391	1.1462	-1.8132	0.9567	-0.9925	-0.1249	-0.1105	-0.8964	-0.8109
MYC|c-Myc	-0.213	0.2191	4.2119	0.6202	1.8672	-0.0155	-0.4496	-0.0914	-1.1164	-0.8192	0.1029	-1.3192	-0.2977	0.0735	-1.0306	0.8759	-0.3292	-0.84	0.7315	-0.5826	-0.2663	-0.8394	-0.079	-0.2116	0.2535	0.1285	-0.486	1.0078	-0.5307	0.0301	0.6205	-0.95	-0.2749
RAF1|C-Raf	0.6581	-0.739	-0.1416	0.3085	0.6519	1.1192	-0.6968	1.4725	-2.5373	0.4137	0.1398	0.5671	0.7092	-1.8318	-0.6392	-1.4226	0.0448	-0.4633	1.4718	0.7952	-0.584	1.0338	-0.2453	-1.1257	0.571	-0.7797	0.9767	-0.3949	0.0163	-0.119	2.177	-0.0727	-1.3334
RAF1|C-Raf_pS338	0.4955	1.5707	0.1758	0.4159	1.0833	0.5024	0.0782	0.5257	-0.5642	0.1131	-0.0645	-0.0188	-0.2647	1.0732	0.4625	0.3799	-1.0364	-1.0207	2.1924	-0.1956	0.267	-0.2287	0.2226	2.2704	-0.8402	-1.7109	-2.3173	-0.0432	-0.7157	-0.5702	-1.6018	-1.2011	0.5655
CASP7|Caspase-7_cleavedD198	-0.2344	-0.2009	-1.41	-0.2061	-0.1628	-0.913	-1.1082	0.0796	1.2432	0.4827	0.0754	0.5844	-2.6665	1.3086	0.2628	-3.0062	-0.0147	-0.0599	1.0526	0.3769	0.5217	0.8055	0.5807	0.0546	0.6369	-0.5082	0.1721	-0.7078	0.9111	0.9539	-1.0158	1.1379	0.9737
CAV1|Caveolin-1	-1.011	-0.4314	1.2349	1.7823	-0.9117	0.0979	-0.9371	-1.1812	1.9628	-0.6149	0.6448	0.4869	-1.0398	1.136	1.1102	0.5374	0.4882	0.2108	-0.0362	0.5118	-0.8669	-1.6482	-1.2678	1.8033	-0.917	1.0777	0.0503	-0.4864	-0.4821	-0.8678	-1.3045	-0.2798	1.1485
PECAM1|CD31	-0.0284	-0.8359	1.5099	1.8946	0.4858	-0.3522	-0.8131	-0.0826	2.0081	-1.6671	-0.6371	0.5668	-1.7099	1.7652	-0.2775	1.0454	-0.4886	-0.1744	-0.9345	-1.3594	-0.1827	-0.4391	0.406	0.6297	-0.6638	0.3743	-0.9767	-1.0977	1.3207	-0.6209	-0.4428	1.2286	0.5493
ITGA2|CD49b	-0.0715	-0.3831	1.0393	0.9329	0.3407	-0.7974	0.0047	0.0611	-1.3463	-0.4981	-0.1872	0.1666	-1.1479	2.062	-0.4906	1.7823	-0.8113	-0.2321	0.3595	0.2253	1.9209	-0.3634	0.127	-0.8282	0.3539	-0.1461	-1.3733	0.6832	-0.3224	2.3981	-0.5743	-0.8205	-2.0637
CDK1|CDK1	-0.834	0.1894	1.2553	0.3298	-0.0415	3.0428	0.7932	-0.5903	-1.3138	-2.0066	-0.0576	-0.0671	1.3502	0.2355	0.9662	0.3549	-0.5668	1.4077	-0.1441	-1.1692	-0.7301	-0.0114	-0.6241	-0.2887	0.0742	-0.091	1.2887	-0.0697	-1.5795	0.847	-0.4114	-1.3636	-0.1743
CHEK1|Chk1	0.7052	1.0898	0.2563	1.2603	0.1641	1.1053	-0.2779	-0.8578	-1.5869	-1.1512	0.1482	0.1795	-0.226	0.1316	-1.421	-0.7906	-0.0775	-1.5105	1.5317	0.1851	0.6749	-0.8008	-1.3533	-0.3931	0.3374	0.8204	2.9286	0.3845	-0.9642	1.1795	-0.8123	0.0039	-0.8635
CHEK1|Chk1_pS345	0.1008	0.0654	0.217	0.5665	1.584	0.7403	0.5549	-0.175	-3.362	0.1588	0.3175	-0.7699	-0.2792	-0.3046	-0.0352	1.3846	-0.1177	-1.0471	-0.89	-1.1837	-0.2832	0.6431	0.5047	-0.9466	0.1977	-0.4681	0.2492	-0.2815	0.2738	-0.3474	1.0947	2.7466	-0.9084
CHEK2|Chk2	0.8716	1.5936	1.8301	1.205	1.3907	-0.5469	-1.3527	0.2416	0.8172	0.4321	0.458	-0.3222	1.1184	1.2451	-0.3661	0.3535	-1.1136	0.0415	1.0322	-0.4632	-0.2474	-0.1531	-0.7149	0.0891	-0.2921	0.2054	0.2569	-0.7472	-0.8762	-1.1745	-0.5958	-1.3071	-2.9089
CHEK2|Chk2_pT68	0.7749	1.1753	-0.1437	2.5409	0.1184	-0.0366	2.9167	-0.0638	-1.7001	-0.1185	-0.0367	-0.5413	0.1484	0.6313	-0.1217	1.6991	-0.546	-0.3967	0.9328	-0.3272	0.2045	-0.7326	-1.1332	0.9898	-0.5129	-0.397	-0.3679	-0.861	-1.118	-0.6333	-1.2367	-0.8069	-0.3002
BIRC2 |cIAP	0.6737	-0.7711	1.7253	0.1923	0.4734	3.3285	-0.6044	0.4755	-0.9355	-0.0432	-0.7922	-0.6593	0.7419	0.9279	-0.9168	-0.0776	-0.6113	0.1982	-0.5033	-0.1326	-0.9664	1.6693	-0.7941	-0.7221	0.1508	-1.0725	0.5239	-0.0444	-0.8282	-0.9776	0.7976	1.1047	-1.5306
CLDN7|Claudin-7	1.2774	-0.0629	-0.2294	0.4133	-0.2887	0.6606	-0.4146	1.6279	-1.4516	-0.2338	-0.5014	-0.748	1.2813	0.079	0.0201	0.8827	-0.5887	-0.6898	-0.9951	1.5959	-1.2166	2.2146	-0.2581	-0.2352	-0.7889	1.5418	-1.0942	-0.2774	-0.2065	-0.1325	0.3687	0.9369	-2.487
COL6A1|Collagen_VI	-1.2824	-0.8845	-0.0762	-0.039	-0.3501	0.1231	-0.7803	-0.2905	3.1089	-1.2248	-0.2326	-0.1694	0.9337	1.4817	-0.4655	0.6124	0.3104	-0.2775	2.0097	-0.6158	-0.9739	-0.5575	-1.3202	1.2897	-0.6569	0.1545	-0.2827	-0.1636	-0.6875	-0.0687	-0.7567	0.1479	1.984
CCNB1|Cyclin_B1	0.1817	0.8083	1.5593	0.6745	-0.0755	2.8605	-0.4985	-0.2141	-1.7837	-0.5632	0.346	-0.2439	-0.4718	0.6643	-1.627	0.1067	0.3635	-0.7511	1.4958	-0.2386	0.2518	-0.7493	-1.1373	-0.6631	0.2998	0.1448	0.857	1.2236	-1.148	1.2919	-1.1091	-0.5306	-1.3246
CCND1|Cyclin_D1	-0.8425	0.3397	-0.8079	-0.4497	-0.1852	-1.1124	-1.2195	-0.2379	3.1345	-1.2386	-0.6135	-0.8168	-0.8184	0.0722	0.4678	0.0558	0.5742	0.849	0.6271	0.145	-0.8112	-0.655	-0.4767	1.8984	-0.73	0.8905	-0.2285	1.0377	-0.8607	-0.8515	-0.1479	1.0913	1.9205
CCNE1|Cyclin_E1	0.825	0.4512	0.4154	-0.016	0.3898	-1.4576	-1.2662	-0.4359	-0.7106	-0.607	-0.2601	-0.0664	-0.7197	0.4987	-0.7659	0.7714	0.8656	0.8879	-0.1035	4.1033	-0.5216	0.9979	-0.1866	-1.0851	-0.0566	0.4665	0.2708	-1.1562	-0.6566	0.6526	-0.0203	-0.2551	-1.2491
PARK7|DJ-1	-0.609	-0.7248	-0.1294	0.3575	-0.0129	0.2376	-0.6902	0.0257	3.1484	-0.4775	-1.1869	0.6844	-1.3952	1.4718	1.7945	0.2248	-0.9282	1.8274	-1.046	0.0096	-1.1781	0.8848	-0.8186	0.5311	-0.8074	0.7548	0.6454	-0.8565	-0.1479	-0.5732	0.0997	-0.2027	-0.9128
DVL3|Dvl3	0.3577	-0.4729	-0.0137	-0.5819	0.4674	0.3812	0.0965	-0.5966	-4.4384	-1.4372	-0.1555	0.392	0.3616	0.957	-0.1158	0.9889	0.0496	0.3694	-0.2865	1.2646	-0.3739	0.3727	0.5204	-0.5959	-0.3873	0.0918	0.4778	-0.2805	-0.5379	1.3607	0.1019	0.1697	1.493
CDH1|E-Cadherin	-0.8939	-0.4652	-0.3138	-0.0932	0.0581	-0.7522	4.0607	-0.3223	-0.1735	-0.7548	-0.3272	2.7366	-0.8168	0.0624	0.5524	0.2671	-0.5637	0.0508	-0.5435	-0.3616	-0.2713	0.3676	0.7667	-0.4096	-0.7814	-0.8509	0.6675	-0.6304	0.4889	-0.3581	0.6369	-0.8886	-0.1436
EEF2|eEF2	-0.5562	-0.8327	-0.3546	2.4676	-0.5133	0.1347	-1.0452	0.1918	-0.1171	-0.4908	-0.6837	-0.442	-0.8117	1.7827	-0.7713	-0.8072	0.3123	1.1013	1.1944	0.4723	-0.6905	-0.4125	-0.7258	-0.9233	-0.3614	0.2692	1.7177	1.6804	-0.6619	-0.1449	-0.7454	2.1297	-1.3626
EEF2K|eEF2K	1.1613	1.2671	-1.8924	0.8505	0.8824	0.411	0.4102	0.7627	-1.77	-0.561	0.7395	-0.4326	-0.597	-0.5171	-1.1672	1.0132	-0.0836	-2.3	0.9404	1.2812	-0.3094	-0.424	0.0334	-0.5743	-0.0558	0.631	0.4073	-0.7405	-0.2508	0.6493	0.0275	1.9472	-1.7399
EGFR|EGFR	-0.6255	-1.3411	1.2097	-0.645	-1.4033	-0.4066	-0.3736	1.9947	-0.4756	-1.3946	-0.9224	0.2165	0.2796	1.9978	-0.2408	0.4694	-0.5411	1.3597	0.6816	-0.448	0.3947	0.714	0.5012	-0.4921	-0.8162	-1.0338	-0.4371	-1.1948	0.7228	1.1779	-1.1622	0.0719	2.1625
EGFR|EGFR_pY1068	-0.8175	0.4901	-0.1494	0.1598	0.9971	-0.5365	2.2999	-0.1681	-0.0503	-1.0275	-0.2517	-0.4426	-0.7787	-0.2244	3.1956	2.5118	-0.1146	-0.1833	-0.8086	-1.2945	-0.2027	0.4112	1.0824	0.0317	-0.4947	0.0013	-0.6929	-0.8308	0.053	-0.0696	-0.4413	-0.5077	-1.1465
EGFR|EGFR_pY1173	0.2789	0.6341	-1.2366	0.8331	-0.2377	0.935	-0.7041	-0.1965	2.5884	0.3334	0.2426	-0.7572	0.1348	0.4921	-0.8417	-1.0211	-1.0752	-1.3871	2.1687	-1.0962	0.2109	0.3823	-0.3701	1.135	-0.0808	1.0307	-1.3884	1.6386	-0.994	-0.163	-0.2007	0.1336	-1.4218
EIF4E|eIF4E	-0.5237	0.0824	-0.4057	0.6264	-1.183	1.0859	-0.8715	1.8136	-1.3872	-0.0853	-0.5543	0.026	1.1682	-1.5275	-1.3252	0.5299	-0.2829	2.3896	-0.1437	0.875	-1.3022	-0.1435	-0.0082	-1.2572	-0.0089	0.0037	2.4602	0.4847	-0.2291	0.8343	-0.007	-0.6281	-0.506
ESR1|ER-alpha	-0.994	-0.4246	0.4832	0.2421	2.2088	-0.3973	0.9234	0.079	0.4152	-1.6972	0.0574	0.1943	1.0917	0.7278	1.1517	1.5374	-0.2814	1.4484	-0.3192	-0.698	-0.7259	0.8356	1.3442	0.4739	-1.6468	-1.2546	-1.2448	-1.573	-0.0972	-0.8561	-0.6019	-1.101	0.699
ESR1|ER-alpha_pS118	0.7702	0.1875	-1.5771	0.8919	0.4409	0.5312	0.2612	-0.0382	2.3516	1.36	0.6407	-1.1338	-0.1633	-0.5198	-0.9037	-0.9426	-0.3612	-1.5529	0.7557	-0.9685	0.3534	-0.0371	-0.3026	0.7405	0.154	0.6262	-1.3764	1.7006	-0.4545	0.1188	0.4987	0.5352	-2.5864
MAPK1|ERK2	-0.3487	-1.3567	-0.6986	-0.2398	-1.1659	-0.7929	-0.6776	0.5996	3.3218	-0.4985	-0.6185	1.3041	0.1339	0.5903	2.0543	1.0911	-0.6306	0.8065	-0.8113	-1.1182	0.0298	0.4624	0.0902	0.5744	-0.4718	0.6553	-0.4519	-1.3273	0.5039	-1.0363	0.8053	-0.129	-0.6493
FN1|Fibronectin	0.7302	0.4966	0.1227	-0.4839	-1.749	0.4161	-0.378	0.8217	0.7136	1.5445	0.6984	-0.0591	1.0013	0.9325	-1.5785	0.1201	-0.5359	0.3268	0.0437	0.6968	0.7538	-1.7559	-2.0487	1.5113	-1.7418	0.2973	-0.0025	1.6279	-1.0547	-0.4239	-1.415	0.244	0.1276
FOXO3|FOXO3a	-0.6597	0.0513	-0.2956	-0.0034	0.3305	0.398	-1.0897	0.8395	1.712	-0.7866	-0.2493	1.81	-1.4711	1.6622	-0.5416	1.3445	-0.8903	0.3709	-0.3076	0.8588	-0.4766	-0.837	0.7199	1.6427	-1.5139	1.1874	-0.9867	-0.3844	-1.62	-1.5599	0.0196	-0.0535	0.7796
GAB2|GAB2	0.5387	-1.1188	-1.5042	-1.4996	2.533	-0.3369	-0.3193	0.7886	-0.3918	0.3561	-0.1011	0.5021	-0.3041	-1.0609	-0.9832	0.8739	-0.9764	-1.1429	-0.3327	2.66	-0.3385	-0.1232	0.0003	-0.9275	0.6242	0.3701	0.6705	0.353	1.2263	0.532	-1.1681	-0.5165	1.1167
GATA3|GATA3	-0.4919	-1.1672	-1.0384	0.0654	-0.6319	0.2406	-0.0313	0.2483	2.4827	-1.2137	0.1095	1.2108	-0.0522	0.6467	1.6021	-0.555	0.9951	0.6625	-1.3292	-1.3413	-1.1732	0.9733	0.4082	-0.4541	-0.7139	-0.2914	-1.2159	-0.4806	1.4095	-1.1358	1.481	1.2884	-0.507
GSK3A GSK3B|GSK3-alpha-beta	-0.9197	-2.0273	1.8673	-1.0036	0.3256	0.7033	-2.1009	0.2684	1.0722	-0.7031	0.2948	0.59	0.3269	2.0656	0.2697	-1.2924	-0.0479	1.4553	0.402	0.0982	0.3934	-0.0293	-0.6437	-1.0408	-0.1964	-0.2559	1.0073	0.9566	-0.405	0.8558	-0.2867	-0.1899	-1.8097
GSK3A GSK3B|GSK3-alpha-beta_pS21_S9	-0.69	-0.203	-0.1941	-0.7158	1.4445	-0.3681	0.696	-0.3139	1.5396	0.2742	-0.269	-1.3775	-0.0809	-2.3429	1.9788	0.5697	0.5488	-0.3026	-2.402	-1.4967	-0.0415	1.0564	0.831	0.3339	1.1746	0.0054	-0.8374	-0.3988	0.9023	-0.7981	0.8867	0.2633	0.3271
ERBB2|HER2	-1.2106	-1.2563	-0.0859	0.172	0.8165	0.5165	1.1965	0.4105	-0.7007	-1.5827	0.4813	0.7622	0.626	1.342	-0.944	1.2177	-1.2511	0.9551	-1.6273	-0.1045	0.4549	-0.424	0.6948	0.0463	-2.6224	0.8406	-0.195	-0.9616	-0.8919	0.5921	0.2728	1.5534	0.9071
ERBB2|HER2_pY1248	-0.0758	0.0936	-0.6189	1.6529	0.522	1.263	-0.5296	-0.0621	2.1426	0.4172	-0.6174	-0.7261	-0.763	0.9743	-0.1333	-0.6888	-1.3206	-0.8024	1.8481	-1.1759	-0.8395	-0.7029	-1.1336	1.3143	-1.2948	0.2969	-0.5816	1.1568	-1.3912	-0.2158	-0.141	0.3925	1.7399
ERBB3|HER3	-0.3893	-0.4802	-0.1864	2.3631	-0.0443	-0.0313	-0.5022	-0.0948	-0.5726	-0.8034	-0.4705	-0.4917	-0.6774	0.3076	-0.8045	0.7592	2.1231	-0.5825	-0.173	-0.4463	-0.1812	-0.5389	-0.1395	-0.1547	-0.4646	-0.0012	-0.6137	3.5707	-0.9369	-0.4301	-0.4099	-0.3433	1.8405
ERBB3|HER3_pY1298	0.0887	-1.5411	-0.4887	1.7143	-1.1484	-0.1763	-0.7673	0.3701	-0.8494	0.3992	-1.0162	-0.3809	-1.4715	1.6095	0.589	-0.734	-0.0456	1.8554	0.4648	0.4587	-0.9455	1.6704	-1.1314	1.0911	-1.2644	-0.8178	-0.4881	1.0186	-0.0539	0.259	-0.279	1.9865	0.0244
HSPA1A|HSP70	0.0305	-0.4032	-1.0743	1.5412	-0.3425	-0.9172	-0.1653	-0.93	0.8812	-1.1469	-0.6698	0.3904	-0.6931	0.3374	-1.0166	0.1268	1.0678	0.2971	2.9425	0.1698	-0.5642	-1.0182	0.9061	1.9026	-0.1982	-1.4256	0.0303	0.6062	0.1666	-0.9126	-1.3006	-0.1641	1.5457
